instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
10079,3/1/2012,1,1,3,0,0,4,1,2,0.42,0.4242,0.94,0,1,10,11
10080,3/1/2012,1,1,3,1,0,4,1,3,0.46,0.4545,0.94,0.1045,0,12,12
10081,3/1/2012,1,1,3,2,0,4,1,2,0.46,0.4545,0.94,0.2836,0,6,6
10082,3/1/2012,1,1,3,3,0,4,1,1,0.46,0.4545,0.94,0.2239,0,3,3
10083,3/1/2012,1,1,3,4,0,4,1,1,0.48,0.4697,0.88,0.194,0,5,5
10084,3/1/2012,1,1,3,5,0,4,1,1,0.48,0.4697,0.88,0.1642,0,18,18
10085,3/1/2012,1,1,3,6,0,4,1,2,0.42,0.4242,0.94,0,2,107,109
10086,3/1/2012,1,1,3,7,0,4,1,2,0.44,0.4394,0.94,0.1343,8,296,304
10087,3/1/2012,1,1,3,8,0,4,1,1,0.42,0.4242,0.94,0.1343,15,579,594
10088,3/1/2012,1,1,3,9,0,4,1,1,0.46,0.4545,0.77,0.2537,5,281,286
10089,3/1/2012,1,1,3,10,0,4,1,1,0.52,0.5,0.55,0.1642,11,122,133
10090,3/1/2012,1,1,3,11,0,4,1,1,0.56,0.5303,0.43,0.194,19,149,168
10091,3/1/2012,1,1,3,12,0,4,1,1,0.56,0.5303,0.37,0.2239,16,204,220
10092,3/1/2012,1,1,3,13,0,4,1,1,0.58,0.5455,0.32,0.2537,24,187,211
10093,3/1/2012,1,1,3,14,0,4,1,1,0.58,0.5455,0.35,0.2239,37,174,211
10094,3/1/2012,1,1,3,15,0,4,1,1,0.6,0.6212,0.31,0.2537,31,192,223
10095,3/1/2012,1,1,3,16,0,4,1,1,0.58,0.5455,0.32,0.2985,38,323,361
10096,3/1/2012,1,1,3,17,0,4,1,1,0.56,0.5303,0.35,0.2985,49,551,600
10097,3/1/2012,1,1,3,18,0,4,1,1,0.54,0.5152,0.34,0.3582,27,498,525
10098,3/1/2012,1,1,3,19,0,4,1,1,0.48,0.4697,0.41,0.3284,11,317,328
10099,3/1/2012,1,1,3,20,0,4,1,1,0.44,0.4394,0.44,0.4179,12,242,254
10100,3/1/2012,1,1,3,21,0,4,1,1,0.42,0.4242,0.47,0.4627,7,190,197
10101,3/1/2012,1,1,3,22,0,4,1,1,0.38,0.3939,0.5,0.2537,3,123,126
10102,3/1/2012,1,1,3,23,0,4,1,1,0.36,0.3485,0.5,0.2239,9,76,85
10103,3/2/2012,1,1,3,0,0,5,1,1,0.34,0.3333,0.53,0.1642,1,45,46
10104,3/2/2012,1,1,3,1,0,5,1,1,0.34,0.3182,0.49,0.2239,2,18,20
10105,3/2/2012,1,1,3,2,0,5,1,1,0.34,0.3182,0.53,0.2836,2,4,6
10106,3/2/2012,1,1,3,3,0,5,1,1,0.32,0.3182,0.57,0.194,0,3,3
10107,3/2/2012,1,1,3,4,0,5,1,1,0.32,0.3485,0.61,0,0,2,2
10108,3/2/2012,1,1,3,5,0,5,1,1,0.3,0.3333,0.7,0,0,24,24
10109,3/2/2012,1,1,3,6,0,5,1,1,0.3,0.3333,0.7,0,4,88,92
10110,3/2/2012,1,1,3,7,0,5,1,1,0.3,0.3333,0.7,0,4,258,262
10111,3/2/2012,1,1,3,8,0,5,1,1,0.28,0.303,0.75,0.0896,16,533,549
10112,3/2/2012,1,1,3,9,0,5,1,1,0.3,0.3333,0.81,0,15,299,314
10113,3/2/2012,1,1,3,10,0,5,1,1,0.36,0.3485,0.5,0.1642,14,118,132
10114,3/2/2012,1,1,3,11,0,5,1,1,0.38,0.3939,0.46,0.194,40,154,194
10115,3/2/2012,1,1,3,12,0,5,1,1,0.4,0.4091,0.43,0.1642,40,194,234
10116,3/2/2012,1,1,3,13,0,5,1,1,0.42,0.4242,0.44,0.2239,31,191,222
10117,3/2/2012,1,1,3,14,0,5,1,2,0.44,0.4394,0.44,0.2836,29,176,205
10118,3/2/2012,1,1,3,15,0,5,1,2,0.42,0.4242,0.5,0.2985,5,73,78
10119,3/2/2012,1,1,3,16,0,5,1,3,0.4,0.4091,0.58,0.2985,1,49,50
10120,3/2/2012,1,1,3,17,0,5,1,3,0.36,0.3485,0.81,0.2239,5,123,128
10121,3/2/2012,1,1,3,18,0,5,1,3,0.36,0.3485,0.87,0.194,6,154,160
10122,3/2/2012,1,1,3,19,0,5,1,3,0.36,0.3485,0.87,0.194,12,162,174
10123,3/2/2012,1,1,3,20,0,5,1,2,0.36,0.3485,0.87,0.194,7,93,100
10124,3/2/2012,1,1,3,21,0,5,1,3,0.36,0.3636,0.87,0.0896,2,99,101
10125,3/2/2012,1,1,3,22,0,5,1,2,0.36,0.3788,0.87,0,6,69,75
10126,3/2/2012,1,1,3,23,0,5,1,2,0.36,0.3788,0.87,0,4,19,23
10127,3/3/2012,1,1,3,0,0,6,0,3,0.36,0.3636,0.93,0.0896,1,21,22
