"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"47715",47715,0.63,"Very Good","D","SI1",62.8,57,1885,5.4,5.46,3.41
"31346",31346,0.27,"Ideal","E","VVS2",60.2,55,760,4.24,4.27,2.56
"18245",18245,1.01,"Very Good","F","VS2",62.9,55,7411,6.36,6.42,4.02
"35684",35684,0.41,"Good","E","VS2",63.1,64,910,4.63,4.66,2.93
"44517",44517,0.52,"Ideal","D","SI1",60.9,57,1600,5.17,5.21,3.16
"186",186,0.71,"Ideal","G","SI1",60.5,56,2776,5.8,5.76,3.5
"52459",52459,0.7,"Ideal","G","VS2",61.2,57,2515,5.77,5.7,3.51
"50302",50302,0.27,"Very Good","E","VVS1",60,58,544,4.21,4.22,2.53
"52418",52418,0.82,"Premium","G","SI2",60.7,61,2512,6.01,5.98,3.64
"16705",16705,0.3,"Very Good","H","SI1",59.4,63,421,4.35,4.4,2.6
"53900",53900,0.72,"Ideal","H","VVS2",62.3,56,2752,5.74,5.81,3.6
"25167",25167,2.01,"Fair","J","VS2",64.9,60,13744,7.82,7.78,5.06
"27683",27683,2.07,"Good","I","VS2",61.8,61,18707,8.12,8.16,5.03
"11657",11657,1.02,"Ideal","G","SI1",62.8,57,5055,6.38,6.35,4
"47657",47657,0.34,"Ideal","D","I1",62.5,57,530,4.49,4.47,2.8
"953",953,0.74,"Ideal","F","SI1",61.2,56,2889,5.83,5.87,3.58
"35213",35213,0.35,"Very Good","G","IF",62.1,54,892,4.53,4.57,2.82
"42713",42713,0.56,"Ideal","G","SI1",62.5,56,1340,5.21,5.28,3.28
"33038",33038,0.32,"Ideal","G","VVS1",61.4,57,814,4.42,4.44,2.72
"2981",2981,0.77,"Premium","G","VVS2",60.8,59,3299,5.96,5.92,3.61
"50461",50461,1,"Premium","G","I1",59,60,2264,6.49,6.43,3.82
"29840",29840,0.3,"Ideal","D","VS2",62.5,54,710,4.29,4.32,2.69
"28364",28364,0.4,"Good","H","SI1",62,61,667,4.69,4.73,2.92
"49519",49519,0.71,"Ideal","H","SI2",61.5,56,2122,5.71,5.74,3.52
"3686",3686,0.9,"Very Good","H","SI1",62.6,58,3447,6.08,6.12,3.82
"17084",17084,1.52,"Premium","D","SI2",62.4,59,6810,7.36,7.29,4.57
"43174",43174,0.54,"Premium","I","VS1",61.5,58,1389,5.28,5.26,3.24
"14443",14443,1.17,"Premium","H","SI1",58.5,62,5831,6.95,6.9,4.05
"18507",18507,1.02,"Very Good","F","VS1",62.7,55,7539,6.37,6.43,4.01
"52205",52205,0.71,"Ideal","D","SI2",62.4,55,2480,5.71,5.74,3.57
"18956",18956,1.09,"Ideal","E","VS2",60.6,58,7796,6.66,6.7,4.05
"17095",17095,1.04,"Premium","G","VS1",61.5,61,6814,6.56,6.51,4.02
"26784",26784,1.52,"Premium","E","VS1",60.6,58,16628,7.38,7.44,4.49
"18222",18222,1.22,"Premium","E","SI1",62.3,59,7395,6.8,6.74,4.22
"36119",36119,0.48,"Ideal","H","SI1",61.2,56,927,5.06,5.1,3.11
"46384",46384,0.54,"Ideal","I","IF",62.5,55,1763,5.21,5.26,3.27
"11084",11084,1,"Fair","F","SI1",62.6,59,4925,6.25,6.3,3.93
"6292",6292,0.9,"Very Good","H","VS1",62.5,56,4021,6.13,6.19,3.85
"2558",2558,0.73,"Ideal","G","VS1",60.8,56.4,3209,5.81,5.86,3.55
"22710",22710,0.35,"Ideal","E","SI2",61.7,56,630,4.55,4.53,2.8
"11961",11961,1.04,"Very Good","F","SI1",63.4,59,5137,6.44,6.4,4.07
"5041",5041,0.3,"Ideal","F","VS2",60.5,58,573,4.3,4.36,2.62
"10893",10893,1.17,"Ideal","J","SI1",62.3,55,4883,6.74,6.77,4.21
"40865",40865,0.52,"Very Good","H","SI1",59.3,59,1175,5.25,5.28,3.12
"25278",25278,2,"Ideal","I","SI2",61.1,59,13921,8.07,8.11,4.94
"12734",12734,1.18,"Good","D","SI2",61.7,63,5315,6.67,6.72,4.13
"31824",31824,0.41,"Premium","E","SI1",60.4,59,775,4.8,4.75,2.88
"29279",29279,0.31,"Ideal","I","VVS2",61.6,57,698,4.39,4.35,2.69
"45727",45727,0.63,"Ideal","F","SI1",62.6,56,1698,5.53,5.49,3.45
"2385",2385,0.32,"Premium","E","SI1",62.3,58,561,4.37,4.4,2.73
"37809",37809,0.35,"Ideal","G","IF",61.7,55,1001,4.52,4.55,2.8
"51737",51737,0.57,"Ideal","F","VVS2",61.7,56,2402,5.31,5.35,3.29
"34139",34139,0.32,"Ideal","F","VVS1",62.5,53,854,4.4,4.43,2.76
"14136",14136,1.09,"Ideal","H","VS2",61.5,54,5732,6.64,6.65,4.09
"24784",24784,1.51,"Good","G","VVS2",63.8,59,13155,7.24,7.28,4.63
"48218",48218,0.56,"Ideal","H","VS1",61.6,56,1949,5.31,5.34,3.28
"24695",24695,0.3,"Very Good","G","VVS2",60.4,60,638,4.3,4.34,2.61
"43592",43592,0.31,"Ideal","H","VS2",61.5,56,507,4.38,4.4,2.7
"35532",35532,0.32,"Ideal","G","IF",61.3,56,905,4.4,4.44,2.71
"4286",4286,1,"Premium","F","SI2",60.2,58,3584,6.47,6.42,3.88
"44182",44182,0.5,"Very Good","E","VS2",62.4,57,1568,5.01,5.03,3.13
"39394",39394,0.41,"Ideal","D","VS2",62.4,55,1076,4.79,4.76,2.98
"21182",21182,1.58,"Ideal","I","SI1",61.7,56,9335,7.55,7.48,4.64
"40934",40934,0.3,"Ideal","E","SI1",62.2,55,499,4.29,4.33,2.68
"28509",28509,0.3,"Premium","F","VS2",61.4,55,673,4.37,4.32,2.67
"33944",33944,0.31,"Ideal","H","SI1",61.5,55,464,4.39,4.42,2.71
"23784",23784,2.45,"Very Good","J","SI2",60.6,63,11843,8.71,8.66,5.26
"45288",45288,0.51,"Ideal","G","VS1",61.6,56,1662,5.18,5.15,3.18
"39281",39281,0.3,"Ideal","H","VS2",61.7,56,491,4.32,4.34,2.67
"38043",38043,0.55,"Premium","H","SI2",59.8,59,1011,5.33,5.3,3.18
"51682",51682,0.72,"Good","H","SI1",63.7,59,2398,5.68,5.63,3.6
"46480",46480,0.55,"Very Good","F","VS2",61.6,56.1,1777,5.29,5.31,3.27
"51557",51557,0.71,"Ideal","E","SI2",59.3,56,2388,5.89,5.84,3.48
"8099",8099,1.04,"Ideal","I","SI1",61.7,57,4344,6.49,6.54,4.02
"38227",38227,0.4,"Ideal","H","VVS1",61.4,57,1017,4.74,4.81,2.93
"52204",52204,0.7,"Ideal","G","SI2",61.8,53,2480,5.73,5.69,3.53
"53262",53262,0.74,"Premium","F","SI1",61.4,59,2648,5.81,5.82,3.57
"15644",15644,1,"Good","E","VS2",57.4,62,6272,6.56,6.53,3.76
"31695",31695,0.36,"Premium","F","SI1",60.3,58,770,4.65,4.6,2.79
"30940",30940,0.24,"Very Good","H","VVS1",61.3,56,449,4.01,4.04,2.46
"23556",23556,1.51,"Premium","E","SI1",62.6,55,11565,7.33,7.25,4.56
"23866",23866,1.55,"Very Good","F","SI1",63.1,56,11957,7.4,7.38,4.66
"24976",24976,1.71,"Ideal","H","SI1",61.8,57,13477,7.74,7.69,4.76
"8255",8255,0.76,"Ideal","D","VS1",61.7,56,4377,5.84,5.87,3.61
"12839",12839,1.08,"Ideal","D","SI2",61.6,57,5352,6.62,6.58,4.07
"10288",10288,1.08,"Ideal","I","SI1",60.3,60,4757,6.67,6.62,4.01
"50723",50723,0.55,"Ideal","F","VVS2",61.5,57,2294,5.24,5.27,3.23
"19523",19523,1.13,"Ideal","F","VS2",60.1,56,8157,6.76,6.84,4.09
"13004",13004,1.07,"Ideal","F","SI2",61.6,57,5405,6.56,6.53,4.03
"48298",48298,0.75,"Premium","J","SI1",61.7,56,1958,5.92,5.81,3.62
"12853",12853,1.11,"Ideal","H","SI1",61.6,56,5358,6.65,6.69,4.11
"45590",45590,0.52,"Premium","G","VS1",62.6,59,1689,5.08,5.11,3.19
"28408",28408,0.35,"Premium","D","SI2",62.3,58,669,4.54,4.48,2.81
"42317",42317,0.41,"Ideal","F","VVS1",60.7,56,1295,4.81,4.85,2.93
"21078",21078,1.7,"Very Good","J","SI1",63.2,57,9253,7.63,7.55,4.8
