"Cost4_A" "md_earn_wne_p10" "STATE"
"1" 14965 31400 "AL"
"2" 19547 40300 "AL"
"3" 11540 38100 "AL"
"4" 19072 46600 "AL"
"5" 15986 27800 "AL"
"6" 21681 42400 "AL"
"7" 7485 27100 "AL"
"9" 15179 34800 "AL"
"10" 21140 45400 "AL"
"11" 39848 41900 "AL"
"12" 6110 27700 "AL"
"13" 14622 21300 "AL"
"14" 31718 29800 "AL"
"15" 9304 26300 "AL"
"16" 9182 28900 "AL"
"17" 25198 37600 "AL"
"18" 10452 26900 "AL"
"20" 7754 27100 "AL"
"21" 10771 27800 "AL"
"22" 14974 24400 "AL"
"23" 23839 42300 "AL"
"24" 29369 37100 "AL"
"25" 14080 32700 "AL"
"26" 7718 23500 "AL"
"27" 17718 35100 "AL"
"28" 9487 27200 "AL"
"29" 12999 30300 "AL"
"30" 9672 27200 "AL"
"31" 26090 30700 "AL"
"32" 10966 22300 "AL"
"33" 16119 33800 "AL"
"34" 10270 28000 "AL"
"35" 17620 48500 "AL"
"36" 19126 27200 "AL"
"37" 27248 37800 "AL"
"38" 17670 35100 "AL"
"39" 10476 26300 "AL"
"40" 12977 36300 "AL"
"41" 7120 28700 "AL"
"42" 32985 33700 "AL"
"43" 9421 23200 "AL"
"44" 24357 29000 "AL"
"45" 7391 20100 "AL"
"46" 8731 22600 "AL"
"47" 34371 45800 "AL"
"49" 12401 24300 "AL"
"50" 8923 26000 "AL"
"51" 13746 38300 "AL"
"52" 40233 43800 "AL"
"53" 18509 28800 "AL"
"54" 24615 24700 "AL"
"55" 20622 25600 "AL"
"56" 10474 21000 "AL"
"57" 16024 36600 "AL"
"58" 30034 37100 "AL"
"60" 13284 25900 "AL"
"61" 14278 42000 "AK"
"63" 15070 38200 "AK"
"64" 13554 39500 "AK"
"65" 39710 47400 "AK"
"67" 23187 42000 "AK"
"68" 11549 42000 "AK"
"70" 30946 28300 "AZ"
"71" 29875 25200 "AZ"
"84" 20061 45200 "AZ"
"85" 13401 25600 "AZ"
"86" 21624 44400 "AZ"
"87" 46183 27500 "AZ"
"89" 8702 28700 "AZ"
"90" 28349 25200 "AZ"
"92" 8244 31200 "AZ"
"96" 29706 46500 "AZ"
"98" 10219 27800 "AZ"
"99" 43624 60900 "AZ"
"101" 12007 33300 "AZ"
"102" 29968 45200 "AZ"
"108" 13316 29800 "AZ"
"109" 12925 36000 "AZ"
"110" 26385 38400 "AZ"
"111" 26952 38400 "AZ"
"112" 24458 26700 "AZ"
"114" 11752 22500 "AZ"
"115" 21182 38800 "AZ"
"116" 11304 22100 "AZ"
"118" 12678 32500 "AZ"
"120" 26877 53400 "AZ"
"121" 7415 30100 "AZ"
"124" 37677 35200 "AZ"
"126" 13925 36600 "AZ"
"129" 12807 35700 "AZ"
"130" 12786 27100 "AZ"
"131" 30745 31000 "AZ"
"134" 28979 52600 "AZ"
"136" 8887 28200 "AZ"
"137" 16990 34800 "AR"
"140" 20015 21100 "AR"
"143" 31045 37200 "AR"
"146" 18064 43600 "AR"
"147" 15579 27400 "AR"
"149" 17770 32700 "AR"
"150" 15361 35000 "AR"
"151" 14827 33600 "AR"
"153" 17975 42100 "AR"
"154" 13097 26600 "AR"
"155" 18333 37100 "AR"
"156" 19872 35700 "AR"
"157" 10824 21000 "AR"
"158" 17141 31100 "AR"
"159" 9411 20200 "AR"
"160" 8527 23100 "AR"
"163" 13544 25000 "AR"
"164" 12636 23900 "AR"
"165" 23751 38600 "AR"
"166" 17175 35200 "AR"
