Category,currency,sellerRating,Duration,endDay,ClosePrice,OpenPrice,Competitive,Partition,Model 1 Prob,Model 2 Prob
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Validation,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Validation,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Validation,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Validation,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Training,0.577517371,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.01,0.01,0,Validation,0.577517371,0.502020522
Automotive,US,3115,7,Tue,0.01,0.01,0,Validation,0.330317358,0.218147489
Automotive,US,3115,7,Tue,0.01,0.01,0,Training,0.330317358,0.218147489
Automotive,US,3115,7,Tue,0.01,0.01,0,Training,0.330317358,0.218147489
Automotive,US,3115,7,Tue,0.01,0.01,0,Validation,0.330317358,0.218147489
Automotive,US,3115,7,Tue,0.01,0.01,1,Validation,0.330317358,0.218147489
Automotive,US,3115,7,Tue,0.01,0.01,1,Training,0.330317358,0.218147489
Music/Movie/Game,US,37727,7,Mon,0.01,0.01,0,Training,0.164926339,0.502020522
Music/Movie/Game,US,3249,5,Mon,0.06,0.01,1,Training,0.579264633,0.502191122
Music/Movie/Game,US,3249,5,Mon,0.1,0.01,1,Validation,0.580661016,0.502327602
SportingGoods,US,34343,1,Fri,0.11,0.01,1,Training,0.069895236,0.570943373
Music/Movie/Game,US,3249,5,Mon,0.11,0.01,1,Training,0.581009911,0.502361722
Music/Movie/Game,US,3249,5,Mon,0.17,0.01,1,Training,0.583101569,0.502566441
Music/Movie/Game,US,3249,5,Mon,0.17,0.01,1,Validation,0.583101569,0.502566441
Music/Movie/Game,US,3249,5,Mon,0.21,0.01,1,Validation,0.584494352,0.502702919
Music/Movie/Game,US,3249,5,Mon,0.55,0.01,1,Validation,0.596276473,0.503862971
Music/Movie/Game,US,3249,5,Mon,0.55,0.01,1,Training,0.596276473,0.503862971
Music/Movie/Game,US,3249,5,Mon,1.05,0.01,1,Validation,0.613399823,0.50556885
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1,Validation,0.620173959,0.506251167
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1,Validation,0.620173959,0.506251167
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1,Validation,0.620173959,0.506251167
Music/Movie/Game,US,3249,5,Mon,1.25,0.01,1,Validation,0.620173959,0.506251167
Music/Movie/Game,US,3249,5,Mon,1.29,0.01,1,Training,0.62152328,0.506387628
Music/Movie/Game,US,3249,5,Mon,1.3,0.01,1,Validation,0.621860317,0.506421743
Music/Movie/Game,US,3249,5,Mon,1.32,0.01,1,Validation,0.622534038,0.506489973
Music/Movie/Game,US,3249,5,Mon,1.32,0.01,1,Training,0.622534038,0.506489973
Music/Movie/Game,US,3249,5,Mon,1.37,0.01,1,Validation,0.624216267,0.506660547
Music/Movie/Game,US,3249,5,Mon,1.5,0.01,1,Training,0.628575973,0.507104031
Music/Movie/Game,US,3249,5,Mon,1.58,0.01,1,Validation,0.631248551,0.507376939
Music/Movie/Game,US,3249,5,Mon,1.75,0.01,1,Training,0.636900944,0.507956853
Music/Movie/Game,US,3249,5,Mon,2,0.01,1,Training,0.645144661,0.50880963
Music/Movie/Game,US,3249,5,Mon,2,0.01,1,Training,0.645144661,0.50880963
Music/Movie/Game,US,3249,5,Mon,2,0.01,1,Training,0.645144661,0.50880963
Music/Movie/Game,US,3249,5,Mon,2.05,0.01,1,Validation,0.646783296,0.508980179
Music/Movie/Game,US,3249,5,Mon,2.13,0.01,1,Validation,0.649397938,0.509253053
Music/Movie/Game,US,3249,5,Mon,2.25,0.01,1,Training,0.653303097,0.509662354
Music/Movie/Game,US,3249,5,Mon,2.25,0.01,1,Training,0.653303097,0.509662354
Music/Movie/Game,US,3249,5,Mon,2.3,0.01,1,Training,0.654924209,0.509832893
Automotive,US,3115,7,Tue,2.31,0.01,1,Validation,0.40681404,0.223548856
Music/Movie/Game,US,3249,5,Mon,2.33,0.01,1,Validation,0.655895153,0.509935215
Music/Movie/Game,US,3249,5,Mon,2.8,0.01,1,Validation,0.670932854,0.511538144
Music/Movie/Game,US,3249,5,Mon,3,0.01,1,Training,0.677229346,0.512220172
Music/Movie/Game,US,3249,5,Mon,3,0.01,1,Validation,0.677229346,0.512220172
Music/Movie/Game,US,3249,5,Mon,3.01,0.01,1,Training,0.677542514,0.512254272
Music/Movie/Game,US,3249,5,Mon,3.06,0.01,1,Validation,0.679105957,0.512424771
Music/Movie/Game,US,3249,5,Mon,3.08,0.01,1,Validation,0.679730214,0.51249297
Music/Movie/Game,US,3249,5,Mon,3.25,0.01,1,Validation,0.685010285,0.513072642
Music/Movie/Game,US,3249,5,Mon,3.25,0.01,1,Validation,0.685010285,0.513072642
Music/Movie/Game,US,3249,5,Mon,3.25,0.01,1,Validation,0.685010285,0.513072642
Music/Movie/Game,US,3249,5,Mon,3.25,0.01,1,Validation,0.685010285,0.513072642
Music/Movie/Game,US,3249,5,Mon,3.26,0.01,1,Training,0.685319411,0.513106739
Music/Movie/Game,US,3249,5,Mon,3.27,0.01,1,Training,0.685628372,0.513140836
Music/Movie/Game,US,3249,5,Mon,3.3,0.01,1,Validation,0.686554271,0.513243127
Music/Movie/Game,US,3249,5,Mon,3.31,0.01,1,Validation,0.686862574,0.513277224
Music/Movie/Game,US,3249,5,Mon,3.36,0.01,1,Validation,0.688401611,0.513447705
Music/Movie/Game,US,3249,5,Mon,3.5,0.01,1,Training,0.692688767,0.513925036
Music/Movie/Game,US,3249,5,Mon,3.55,0.01,1,Training,0.694211917,0.514095506
Music/Movie/Game,US,3249,5,Mon,3.75,0.01,1,Training,0.700261974,0.514777349
Music/Movie/Game,US,3249,5,Mon,3.75,0.01,1,Training,0.700261974,0.514777349
Music/Movie/Game,US,3249,5,Mon,3.76,0.01,1,Validation,0.700562675,0.51481144
Music/Movie/Game,US,3249,5,Mon,3.8,0.01,1,Validation,0.701763749,0.514947802
Music/Movie/Game,US,3249,5,Mon,3.8,0.01,1,Training,0.701763749,0.514947802
Music/Movie/Game,US,3249,5,Mon,3.84,0.01,1,Validation,0.702962048,0.515084161
Music/Movie/Game,US,3249,5,Mon,4.17,0.01,1,Training,0.712740862,0.51620904
Music/Movie/Game,US,3249,5,Mon,4.25,0.01,1,Training,0.715082339,0.516481713
Music/Movie/Game,US,3249,5,Mon,4.25,0.01,1,Validation,0.715082339,0.516481713
Music/Movie/Game,US,3249,5,Mon,4.25,0.01,1,Training,0.715082339,0.516481713
Music/Movie/Game,US,3249,5,Mon,4.25,0.01,1,Training,0.715082339,0.516481713
Music/Movie/Game,US,37727,7,Mon,4.26,0.01,1,Validation,0.266396932,0.516515797
Music/Movie/Game,US,3249,5,Mon,4.29,0.01,1,Training,0.716248763,0.516618046
Music/Movie/Game,US,3249,5,Mon,4.31,0.01,1,Validation,0.716830892,0.516686212
Music/Movie/Game,US,3249,5,Mon,4.4,0.01,1,Training,0.71944151,0.516992949
Music/Movie/Game,US,3249,5,Mon,4.54,0.01,1,Validation,0.72347315,0.517470071
Music/Movie/Game,US,3249,5,Mon,4.75,0.01,1,Training,0.729453033,0.518185693
Music/Movie/Game,US,3249,5,Mon,4.9,0.01,1,Training,0.733674223,0.518696807
Music/Movie/Game,US,3249,5,Mon,5,0.01,1,Validation,0.736464931,0.519037527
Music/Movie/Game,US,3249,5,Mon,5,0.01,1,Training,0.736464931,0.519037527
Music/Movie/Game,US,3249,5,Mon,5.01,0.01,1,Training,0.736742966,0.519071598
Music/Movie/Game,US,3249,5,Mon,5.5,0.01,1,Validation,0.750133979,0.520740858
