Tag,HomeState,Zipcode,Zip5,Country,CountyDesc,Status,ACEFlag,InternationalFlag,StateResidency,Gender,MCFlag,OneRace,FullRace,FirstGen,AlumniConnection,Division,Major,SuppMajor1,SuppMajor2,Concentration,ApplicationType,ApplicationDate,Housing,Special Consideration,DisciplinaryQuestion1,Decision,DecisionType,DecisionDate,Confirmed Date,ACTBest,GPA,AcadRS,GPAScale,GPAOrig,ClassRank,ClassSize,ACTComposite,ACTEng,ACTMath,ACTRdng,ACTSci,ACTWRSC,SATVerbal,SATMath,SATWRSC,ACTChoice,ACTMaxComposite,ACTMaxEnglish,ACTMaxMath,ACTMaxReading,ACTMaxSciReasoning,ACTWritingMax,SAT R ERW,SAT R Math,Class Percentile,HighSchoolCode,Column 58,HighSchoolState,High School Type Slate,EER,Parent 1 Education Level,Parent 2 Educational Level,Citizen,Citizenship1,TOEFL Total,TOEFL Listening,TOEFL Reading,TOEFL Structure/Written Expression,TOEFL Speaking,IELTS Overall Band Score,IELTS Listening,IELTS Reading,IELTS Writing,IELTS Speaking,Bridges,SummerScholars,Race,Hispanic,AS_Race,AI_Race,BL_Race,HS_Race,PI_Race,MiamiRanks
934811,OH,43023-1244,43023,United States,"Licking, OH",Confirmed,notACE,Domestic,R,M,DomesticWHorUK,White,White,,,FSB,Undeclared: Business,Undeclared: Business,Political Science,BB,OF,10/21/2017,On Campus,,,AA,,12/21/2017,04/19/2018,30,3.45,12,4,3.45,,211,30,31,30,28,30,,,,,,30,31,30,28,30,,,,,362385,20655945,OH,Public,4,Graduate school,Graduate school,Y,United States,,,,,,,,,,,,,White,0,,,,,,
677635,OH,45069-4364,45069,United States,"Butler, OH",Confirmed,notACE,Domestic,R,M,DomesticWHorUK,White,White,,S - Sibling,CEC,Computer Engineering,Computer Engineering,Computer Science,BB,OF,11/27/2017,Off Campus,,,AA,H,12/21/2017,05/02/2018,32,4.13,21,4,4.133,71,618,28,30,32,28,23,7,,,,,28,30,32,28,26,7,730,740,11,365417,20828769,OH,Public,3,Graduated from college/university,Graduated from high/secondary school (or equivalent),Y,United States,,,,,,,,,,,,,White,0,,,,,,
733381,NV,89144-6826,89144,United States,"Clark, NV",Confirmed,notACE,Domestic,N,F,DomesticMC,Hispanic,Hispanic/Latino,Y,,CLAAS,Nursing,Early Childhood Education,Psychology,PM,OF,11/29/2017,On Campus,,,AA,,12/21/2017,04/18/2018,25,3.27,7,4,3.27,,32,,,,,,,,,,,,,,,,,660,540,,290229,16543053,NV,Private Secular,4,Graduated from high/secondary school (or equivalent),Graduated from high/secondary school (or equivalent),Y,United States,,,,,,,,,,,Y,,Hispanic/Latino,1,,,,HS,,
474422,OH,45140-9182,45140,United States,"Clermont, OH",Confirmed,notACE,Domestic,R,F,DomesticMC,Asian,Asian,,,EHS,Early Childhood Education,Early Childhood Education,Middle Childhood Education: Science & Social Studies,PM,OE,08/10/2017,On Campus,,,AA,,12/14/2017,12/22/2017,25,4.49,15,4,4.488,33,516,24,23,25,25,24,,,,,,24,24,26,25,24,,600,570,6,363430,20715510,OH,Public,4,Graduated from college/university,Graduated from college/university,Y,United States,,,,,,,,,,,Y,,Asian,0,AS,,,,,
593731,OH,45044-8688,45044,United States,"Butler, OH",Confirmed,notACE,Domestic,R,M,DomesticMC,Hispanic,"Hispanic/Latino, White",,,CAS,Biochemistry,Biochemistry,Biology,BB,OF,11/22/2017,On Campus,,,AA,H,12/21/2017,04/18/2018,35,4.83,21,4,4.83,,117,35,36,34,34,35,9,,,,,35,36,34,35,35,9,,,,362485,20661645,OH,Religious,3,Graduated from college/university,Some college/university,Y,United States,,,,,,,,,,,,,"Hispanic/Latino, White",1,,,,HS,,
601190,IL,60062-4519,60062,United States,"Cook, IL",Confirmed,notACE,Domestic,N,M,DomesticWHorUK,White,White,,,CAS,University Studies,Undeclared: No Division (University Studies),Undeclared: Business,BB,OF,10/01/2017,On Campus,,,AA,,12/21/2017,04/07/2018,29,3.54,10,4,3.54,,473,28,26,26,33,27,,,,,,28,26,27,34,30,6,,,,143215,8163255,IL,Public,3,Graduate school,Graduate school,Y,United States,,,,,,,,,,,,,White,0,,,,,,
99313,IL,60646-5029,60646,United States,"Cook, IL",Confirmed,notACE,Domestic,N,M,DomesticWHorUK,White,White,,F - Father,CAS,University Studies,Business - Economics,Entrepreneurship,BB,OF,10/28/2017,On Campus,,,AA,,01/31/2018,04/30/2018,26,3.63,5,100,89.26,,509,25,26,24,26,23,8,,,,,25,26,26,26,25,8,,,,144403,8230971,IL,Religious,4,Graduate school,Graduated from college/university,Y,United States,,,,,,,,,,,,,White,0,,,,,,
790430,OH,45215-4315,45215,United States,"Hamilton, OH",Confirmed,notACE,Domestic,R,F,DomesticWHorUK,White,White,Y,,CAS,University Studies,Undeclared: No Division (University Studies),Early Childhood Education,BB,OE,10/16/2017,On Campus,,,AA,,12/14/2017,01/03/2018,23,3.56,15,4,3.56,,157,23,22,25,22,21,8,,,,,23,22,25,22,21,8,,,,361156,20585892,OH,Public,3,Some college/university,Some college/university,Y,United States,,,,,,,,,,,,,White,0,,,,,,
568700,IL,60045-2941,60045,United States,"Lake, IL",Confirmed,notACE,Domestic,N,F,DomesticWHorUK,White,White,,,FSB,Interdisciplinary Bus Managemt,Interdisciplinary Business Management,Marketing,BB,OF,09/25/2017,On Campus,,,AA,,12/21/2017,03/06/2018,28,3.2,10,5,3.999,,423,,,,,,,,,,,,,,,,,680,650,,142520,8123640,IL,Public,3,Some college/university,Graduated from college/university,Y,United States,,,,,,,,,,,,,White,0,,,,,,
865776,OH,45011-9581,45011,United States,"Butler, OH",Confirmed,notACE,Domestic,R,F,DomesticWHorUK,White,White,Y,M - Mother,CCA,Communication Design,Communication Design,Mathematics,PM,OF,10/05/2017,Off Campus,,,AA,DY,12/21/2017,03/20/2018,31,4.09,18,4,4.087,2,314,31,31,30,33,29,,,,,,31,31,30,33,29,,,,1,365085,20809845,OH,Public,4,Graduated from college/university,Graduated from high/secondary school (or equivalent),Y,United States,,,,,,,,,,,,,White,0,,,,,,
