Score,Text,Time
0,"🔴🇺🇸 Le démocrate #JohnFetterman est élu sénateur face à un candidat trumpiste en Pennsylvanie. 

Son siège peut êtr… https://t.co/Vnw7CjEwqU",2022-11-09T06:27:40.000Z
0.5267,"RT @BeingCharlie: @cnnbrk 👏🏿👏🏿👏🏿👏🏿

Winning while recuperating from a stroke #JohnFetterman #Fettterman #epicwin",2022-11-09T06:27:36.000Z
0,RT @France24_en: @lemasurierjess @dougf24 @cloviscasali @edisonresearch @whilderbrandt @smougin @ericpape @nvdems @WassimCornet @sldreyfuss…,2022-11-09T06:26:52.000Z
0.6688,RT @FutureGenPAC: Congratulations @JohnFetterman! John heads to represent Pennsylvania in the Senate! #JohnFetterman #FutureGenerations #El…,2022-11-09T06:26:52.000Z
0,#JohnFetterman for president #2024!,2022-11-09T06:26:51.000Z
0.4184,How can anyone with pride in their campaign and America (ie. #johnfetterman) do an acceptance speech in a sweatshirt? A disgrace!!,2022-11-09T06:26:49.000Z
0.636,Congratulations #JohnFetterman! Time to send that snake oil salesman back to Jersey.,2022-11-09T06:26:44.000Z
0.5574,"#JohnFetterman is proof that if you are born to rich parents, you too can inherit a Senate seat. He is expected to… https://t.co/YNnYpfTe0n",2022-11-09T06:26:06.000Z
0.7783,"RT @WardianAl: @JohnFetterman is the image of what is great about Pennsylvania. Tough dude, compassionate, and unswayed and will put his bo…",2022-11-09T06:25:59.000Z
-0.5255,"Winner: #JohnFetterman
Loser: #JoeManchin just became a pee on!
Bye bye Joe, don't let the door hit you in the ass.",2022-11-09T06:25:53.000Z
0,"Fetterstroke has 4 kids, who knew? Imagine voting for the patient and not the Doctor. It’s official, Pennsylvania i… https://t.co/EuevIOEQfU",2022-11-09T06:25:50.000Z
0,RT @France24_en: @lemasurierjess @dougf24 @cloviscasali @edisonresearch @whilderbrandt @smougin @ericpape @nvdems @WassimCornet @sldreyfuss…,2022-11-09T06:25:41.000Z
0.5267,"RT @BeingCharlie: @cnnbrk 👏🏿👏🏿👏🏿👏🏿

Winning while recuperating from a stroke #JohnFetterman #Fettterman #epicwin",2022-11-09T06:25:41.000Z
0,@lemasurierjess @dougf24 @cloviscasali @edisonresearch @whilderbrandt @smougin @ericpape @nvdems @WassimCornet… https://t.co/0HqnW0l3I2,2022-11-09T06:25:35.000Z
0.6114,#johnfetterman orating like a baller! Humble and badass. “Healthcare is a fundamental human right. It’s saved me an… https://t.co/2OA4GI43je,2022-11-09T06:25:33.000Z
0.3802,"Every media outlet: ""#JohnFetterman Wins!""
Every GenXer: Cool *turns up #Pixies' Surfer Rosa*",2022-11-09T06:25:32.000Z
0.9324,"So I’m a Canadian, but this win really makes me happy! #JohnFetterman https://t.co/cGdYkMNHWL",2022-11-09T06:25:15.000Z
