Score,Text,Time
0.0258,"genocide denier and Erdogan’s puppy #MehmetOz has lost #Pennsylvania’s tight #senate race 

God bless the Armenian… https://t.co/xfMLWTTXei",2022-11-09T06:26:53.000Z
0,"https://t.co/oqccDkTuK7 (November 9, 2022; 13:29 HKT) #MEHMETOZ #DROZ #FAIL",2022-11-09T06:25:15.000Z
0.6259,Quéééé??? OMG!! Que emoción!! Es un hombre que ha resucitado literalmente de las garras de la muerte. Hace 6 meses… https://t.co/qZUEBycH49,2022-11-09T06:25:03.000Z
-0.4019,"Anybody whose name starts with “Meh” - probably deserves to lose their election bid. Just sayin.

#MehmetOz #SnakeOil",2022-11-09T06:24:09.000Z
-0.3182,"Dr Mehmet Oz lost the election by a narrow margin.
#Fetterman #MehmetOz https://t.co/p2LcachFom",2022-11-09T06:24:06.000Z
0.3612,@hodgetwins You have @seanhannity to thank for #MehmetOz loss. He insisted #Trump endorse d guy even though he was… https://t.co/b4JKTWyRuC,2022-11-09T06:23:09.000Z
-0.3182,"#MehmetOz loses to #Obama, not to #Fetterman as the former president put his weight in the local race.  
🔸️Obama se… https://t.co/7V8es7y2ZP",2022-11-09T06:23:09.000Z
0,@FoxNews #OprahWinfrey just shafted #MehmetOz,2022-11-09T06:22:37.000Z
-0.3612,"RT @MatHelman: .@DrOz @ccontres @retripp @BrittanyYanick &amp; the whole #DrOz #DrOzforSenate #MehmetOz team:

Was the lying worth it? Was the…",2022-11-09T06:22:18.000Z
-0.3612,".@DrOz @ccontres @retripp @BrittanyYanick &amp; the whole #DrOz #DrOzforSenate #MehmetOz team:

Was the lying worth it?… https://t.co/t27YKU0wXs",2022-11-09T06:19:43.000Z
-0.5622,SUCK IT @FoxNews @foxnewspolitics @TuckerCarlson @JesseBWatters @jesseprimetime @greggutfeld @thefive You monsters… https://t.co/3kDYE1DVAb,2022-11-09T06:17:36.000Z
0.4767,@TrendingLiberal @joncoopertweets #MehmetOz will be just fine. I’m sure he has a whole medicine cabinet full of sup… https://t.co/YXGKAIRUhk,2022-11-09T06:09:42.000Z
0,#oz #mehmetoz another #republican turd. #trumper goes down the drain.,2022-11-09T06:05:37.000Z
0,"RT @yakupcetincom: Bozkırlı hemşehrimiz Mehmet Öz'ün ABD seçimlerindeki adaylığı için Anadolu Ajansı olarak yaptığımız çekimler.

Sağlık al…",2022-11-09T06:05:30.000Z
0.3975,Will Mehmet Oz move back to New Jersey now?  I hope not.  We don’t want him here.  #DrOz #MehmetOz #OzTheHack,2022-11-09T06:03:45.000Z
-0.5216,No more Oz!!!!!!! #fetterman2022 #FettermanIsTheBetterman #MehmetOz #DrOz #Democrats,2022-11-09T06:03:04.000Z
0.3182,@Oprah has redeemed herself #ElectionNight #Oprah #MehmetOz #Fetterman,2022-11-09T06:02:49.000Z
0,"Bozkırlı hemşehrimiz Mehmet Öz'ün ABD seçimlerindeki adaylığı için Anadolu Ajansı olarak yaptığımız çekimler.

Sağl… https://t.co/6x6eeS9Os1",2022-11-09T06:02:49.000Z
0,"...

We have defended both democracy AND Dogs across #Pennsylvania
AND all of our America,
with @JohnFetterman DEFE… https://t.co/Dl9VRErkrB",2022-11-09T06:02:26.000Z
-0.5423,"@DrOz (#MehmetOz) HAD to be, that bad of a candidate that he couldn’t even beat @JohnFetterman 

#Election2022",2022-11-09T06:01:51.000Z
-0.7351,@DrOz (#MehmetOz) had to be THAT much of a horrible candidate to lose to @FettermanLt,2022-11-09T06:00:10.000Z
-0.1882,"Fetterman the projected winner 😂😂🤣 you can't make this shit up anymore! #Pennsylvania #ElectionDay    #ElectionDay … https://t.co/N8FYcLj6mc",2022-11-09T05:59:21.000Z
0,RT @MoistenedTart: John Fetterman has been called to win!Pennsylvania!!!! #democraticsocialist #bernisesanders #MehmetOz #Pennsylvanie,2022-11-09T05:55:00.000Z
