"Day","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5"
1,56.9,71.75,55.63,20.4,62.4
2,68.87,36.95,84.83,44.92,108.49
3,126.08,57.72,73.86,117.8,70.39
4,92.46,72.92,44.5,109.08,72.06
5,38.36,54.28,110.2,89.92,93.93
6,61.5,106.02,35.55,75.04,96.65
7,77.69,124.92,48.94,98.97,18.22
8,46.89,77.14,72.22,79.17,49.71
9,67.05,55.32,70.85,46.08,94.93
10,107.72,80.86,73.09,79.39,66.49
11,54.1,51.51,59.52,116.14,74.37
12,75.17,35.41,79.39,65.57,98.86
13,82.19,53.31,164.39,59.67,38.94
14,39.17,55.55,44.38,79.49,19.45
15,57.26,47.38,57.09,75.42,74.25
16,90.21,77.83,65.75,135.26,52.84
