"version","sales","source"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",83.48,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",105.68,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",189.22,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",93.09,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",85,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",109.36,"internet"
"B",0,"email"
"A",144.09,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",88.53,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"email"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"A",69.11,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",104.06,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",87.27,"email"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",94.4,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"email"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"email"
"B",130.35,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",155.16,"internet"
"B",50.83,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",77.87,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",102.39,"email"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",118.94,"internet"
"A",126.96,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"email"
"B",103,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"B",129.51,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",148.13,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",46.86,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",65.89,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"email"
"A",0,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"email"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"A",86.68,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"email"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",31.61,"internet"
"B",100.69,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",135.67,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",41.28,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",121.35,"email"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"A",0,"internet"
"B",146.76,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",58.56,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"A",123.76,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"email"
"B",78.21,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",86.28,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"email"
"B",0,"email"
"A",0,"internet"
"A",0,"internet"
"B",90.92,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"email"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"email"
"A",69.4,"email"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",118.03,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",142.4,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"email"
"A",0,"email"
"A",0,"email"
"A",0,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"email"
"B",0,"internet"
"B",0,"internet"
"B",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"email"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"email"
"B",0,"internet"
"A",0,"email"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"internet"
"B",0,"internet"
"A",0,"email"
"A",0,"internet"
