limit,sex,education,marital,age,default
20000,female,undergrad,married,24,1
120000,female,undergrad,single,26,1
90000,female,undergrad,single,34,0
50000,female,undergrad,married,37,0
50000,male,undergrad,married,57,0
50000,male,grad,single,37,0
500000,male,grad,single,29,0
100000,female,undergrad,single,23,0
140000,female,highschool,married,28,0
20000,male,highschool,single,35,0
200000,female,highschool,single,34,0
260000,female,grad,single,51,0
630000,female,undergrad,single,41,0
70000,male,undergrad,single,30,1
250000,male,grad,single,29,0
50000,female,highschool,other,23,0
20000,male,grad,single,24,1
320000,male,grad,married,49,0
360000,female,grad,married,49,0
180000,female,grad,single,29,0
130000,female,highschool,single,39,0
120000,female,undergrad,married,39,1
70000,female,undergrad,single,26,1
450000,female,grad,married,40,1
90000,male,grad,single,23,0
50000,male,highschool,single,23,0
60000,male,grad,single,27,1
50000,female,highschool,single,30,0
50000,female,highschool,married,47,0
50000,male,grad,single,26,0
230000,female,grad,single,27,0
50000,male,undergrad,single,33,1
100000,male,grad,single,32,0
500000,female,undergrad,married,54,0
500000,male,grad,married,58,0
160000,male,grad,single,30,0
280000,male,undergrad,married,40,0
60000,female,undergrad,single,22,0
50000,male,grad,single,25,1
280000,male,grad,single,31,0
360000,male,grad,single,33,0
70000,female,grad,single,25,0
10000,male,undergrad,single,22,0
140000,female,undergrad,married,37,0
40000,female,grad,single,30,0
210000,male,grad,single,29,1
20000,female,grad,single,22,1
150000,female,other,single,46,1
380000,male,undergrad,single,32,0
20000,male,grad,single,24,0
70000,male,highschool,single,42,1
100000,female,highschool,other,43,0
310000,female,undergrad,married,49,0
180000,female,grad,single,25,0
150000,female,grad,single,29,0
500000,female,grad,married,45,0
180000,female,highschool,married,34,0
180000,female,undergrad,married,34,0
200000,female,grad,single,34,0
400000,female,undergrad,married,29,0
500000,female,highschool,married,28,1
70000,male,undergrad,married,39,0
50000,male,grad,single,29,1
50000,female,undergrad,married,46,1
130000,female,undergrad,married,51,0
200000,male,grad,married,57,1
10000,male,undergrad,married,56,1
210000,female,grad,single,30,0
130000,female,highschool,single,29,0
20000,male,other,single,22,0
80000,male,grad,single,31,0
320000,male,undergrad,single,29,1
200000,female,undergrad,married,32,0
290000,female,grad,single,37,0
340000,male,grad,single,32,0
20000,male,undergrad,single,24,0
50000,male,highschool,single,25,0
300000,female,grad,married,45,0
30000,female,undergrad,single,22,1
240000,female,undergrad,single,44,1
470000,female,highschool,other,33,0
360000,female,grad,single,26,0
60000,male,highschool,single,30,1
400000,female,undergrad,married,44,0
50000,female,highschool,single,49,0
160000,male,undergrad,single,33,0
360000,female,grad,married,45,1
160000,female,undergrad,single,32,0
130000,female,grad,married,35,0
20000,male,highschool,single,44,0
200000,male,grad,married,53,1
280000,female,grad,single,39,0
100000,female,grad,single,27,0
160000,female,undergrad,married,37,0
60000,female,undergrad,single,23,0
90000,male,undergrad,single,35,0
360000,male,grad,married,43,0
150000,male,grad,single,27,0
50000,female,highschool,married,22,0
20000,male,undergrad,married,38,1
140000,male,grad,single,32,0
380000,female,grad,single,30,0
480000,male,grad,married,63,0
50000,female,highschool,single,22,1
60000,female,undergrad,single,26,0
70000,female,undergrad,single,24,0
80000,female,undergrad,married,36,0
350000,male,grad,single,52,0
130000,male,undergrad,single,38,0
360000,male,undergrad,married,35,0
330000,female,grad,married,31,0
50000,male,highschool,married,47,0
280000,male,undergrad,married,41,0
100000,female,grad,single,24,0
50000,male,undergrad,single,41,0
30000,male,grad,single,24,1
240000,male,grad,single,28,0
80000,male,undergrad,single,26,1
