"sign_ups","version","visit"
0,"A",56849
0,"A",35065
0,"A",11012
0,"A",34475
1,"A",58276
0,"A",11649
0,"A",366
0,"A",91769
0,"A",1239
0,"A",27637
0,"A",46457
0,"A",14819
0,"A",87840
0,"A",76737
0,"A",29713
0,"A",51786
0,"A",42308
0,"A",53337
0,"A",52379
0,"A",98481
0,"A",60148
0,"A",51109
0,"A",60050
0,"A",64594
0,"A",96938
0,"A",38997
0,"A",42011
0,"A",79780
0,"A",24532
0,"A",6601
0,"A",89781
0,"A",60954
0,"A",2971
0,"A",17453
0,"A",32066
0,"A",94819
0,"A",35312
0,"A",67678
0,"A",51872
0,"A",50018
0,"A",55841
0,"A",13651
1,"A",18542
0,"A",90020
0,"A",43284
0,"A",13983
0,"A",84551
0,"A",11448
0,"A",99276
0,"A",7112
0,"A",91478
0,"A",24837
0,"A",63269
1,"A",64455
0,"A",38407
0,"A",12172
0,"A",95524
0,"A",43806
0,"A",88364
0,"A",25467
0,"A",38202
0,"A",42582
0,"A",81376
0,"A",92458
0,"A",4998
0,"A",47865
0,"A",42340
0,"A",63878
0,"A",76359
0,"A",90135
0,"A",19118
0,"A",58666
0,"A",93283
0,"A",47209
0,"A",34949
0,"A",45900
0,"A",90296
0,"A",95748
0,"A",98667
0,"A",73966
0,"A",60556
0,"A",10692
0,"A",40759
0,"A",20904
0,"A",13444
0,"A",73567
0,"A",76108
0,"A",3967
0,"A",45271
1,"A",81709
0,"A",60344
0,"A",72922
0,"A",47087
0,"A",35469
0,"A",33367
0,"A",16380
0,"A",23175
0,"A",98286
0,"A",49490
0,"A",49847
0,"A",81112
0,"A",71993
0,"A",99597
0,"A",48010
0,"A",96437
0,"A",26768
0,"A",34295
0,"A",53275
0,"A",3123
0,"A",46911
0,"A",58210
0,"A",30581
0,"A",34998
0,"A",43205
0,"A",65266
0,"A",34586
0,"A",15133
0,"A",45218
0,"A",33400
0,"A",65605
0,"A",84327
0,"A",70151
0,"A",50326
0,"A",1036
0,"A",95663
0,"A",18976
0,"A",43032
0,"A",96085
0,"A",72101
1,"A",62154
0,"A",60567
0,"A",19046
0,"A",18144
0,"A",46392
0,"A",66211
0,"A",81475
0,"A",65538
0,"A",57092
0,"A",58959
0,"A",53382
0,"A",35412
0,"A",83124
0,"A",21933
0,"A",13286
0,"A",66036
0,"A",74442
0,"A",75548
0,"A",90298
0,"A",84027
0,"A",66481
0,"A",73222
0,"A",13963
1,"A",48728
0,"A",89713
0,"A",73144
0,"A",64329
0,"A",56211
0,"A",1304
0,"A",88854
0,"A",86468
0,"A",47237
0,"A",79601
0,"A",26425
0,"A",9298
0,"A",72698
0,"A",12394
0,"A",31213
0,"A",55512
0,"A",24789
0,"A",65956
0,"A",42224
0,"A",8015
0,"A",94713
0,"A",77327
0,"A",94366
0,"A",34076
0,"A",47402
0,"A",12751
0,"A",79373
0,"A",78876
0,"A",40021
0,"A",74603
0,"A",21342
1,"A",98452
0,"A",12881
0,"A",94817
0,"A",52065
0,"A",22790
0,"A",39574
1,"A",6380
0,"A",49271
0,"A",6899
0,"A",47568
0,"A",77759
0,"A",34863
0,"A",54902
0,"A",44065
0,"A",89978
0,"A",28093
0,"A",44707
0,"A",64218
1,"A",44294
0,"A",90742
0,"A",64299
0,"A",25805
0,"A",96312
0,"A",63432
0,"A",90529
0,"A",66
1,"A",41692
0,"A",84568
0,"A",84459
0,"A",57391
0,"A",64469
0,"A",46574
0,"A",34890
0,"A",66969
0,"A",84489
1,"A",7995
0,"A",39905
0,"A",94301
0,"A",83681
0,"A",48280
0,"A",36385
0,"A",85258
0,"A",14186
0,"A",34567
0,"A",97730
0,"A",72621
0,"A",82429
0,"A",22707
0,"A",2347
0,"A",6895
0,"A",76469
0,"A",23964
0,"A",72440
0,"A",26039
0,"A",73296
0,"A",14795
0,"A",11438
0,"A",89909
0,"A",96638
0,"A",63838
0,"A",88063
0,"A",66132
0,"A",53926
0,"A",52595
0,"A",43965
0,"A",70124
0,"A",60865
0,"A",52955
0,"A",30170
0,"A",55044
0,"A",791
0,"A",45058
0,"A",46766
0,"A",26093
0,"A",6225
0,"A",45267
0,"A",7906
0,"A",15989
0,"A",57032
0,"A",29139
0,"A",6491
0,"A",1108
0,"A",77468
0,"A",47813
0,"A",1682
1,"A",40799
0,"A",59749
0,"A",32971
0,"A",9036
0,"A",29210
0,"A",23914
0,"A",99243
0,"A",6210
0,"A",60712
0,"A",49820
0,"A",64918
0,"A",87687
0,"A",40662
0,"A",55087
0,"A",11881
0,"A",71482
0,"A",46952
0,"A",34144
0,"A",67364
0,"A",62770
0,"A",69928
0,"A",98052
1,"A",17740
0,"A",43320
0,"A",43372
0,"A",32065
0,"A",26855
0,"A",84059
0,"A",7478
0,"A",59550
0,"A",72308
0,"A",87140
0,"A",47946
0,"A",34997
1,"A",64828
0,"A",19775
0,"A",5016
0,"A",45420
0,"A",39937
0,"A",64486
0,"A",76291
0,"A",70840
0,"A",35837
0,"A",3328
0,"A",78871
0,"A",47823
0,"A",25972
0,"A",43886
0,"A",49541
0,"A",47181
1,"A",32872
0,"A",68721
0,"A",36035
0,"A",807
0,"A",75365
0,"A",63803
0,"A",73773
0,"A",27242
0,"A",44332
0,"A",25529
0,"A",54311
0,"A",40843
0,"A",4355
0,"A",86401
0,"A",5026
0,"A",7977
0,"A",19353
0,"A",51050
0,"A",29314
0,"A",93013
0,"A",59599
1,"A",7433
1,"A",14674
1,"A",89977
0,"A",87425
0,"A",15295
0,"A",65785
0,"A",84979
1,"A",83050
0,"A",39042
0,"A",96567
0,"A",29018
1,"A",49591
0,"A",51586
0,"A",37848
0,"A",4446
0,"A",99284
0,"A",68280
0,"A",87030
1,"A",19609
0,"A",79450
0,"A",86196
0,"A",3678
0,"A",24735
0,"A",87151
0,"A",44165
0,"A",87319
0,"A",55582
0,"A",87585
0,"A",9287
0,"A",96697
0,"A",2581
0,"A",2598
0,"A",62903
0,"A",85063
0,"A",51385
0,"A",34733
1,"A",31390
0,"A",85338
0,"A",60546
0,"A",31664
0,"A",43847
0,"A",19146
0,"A",57610
0,"A",85860
0,"A",93939
0,"A",77759
0,"A",93551
0,"A",93151
0,"A",73844
0,"A",14393
0,"A",76191
0,"A",94101
0,"A",73826
0,"A",95551
0,"A",20796
0,"A",66555
0,"A",76245
0,"A",27478
0,"A",34421
0,"A",48972
0,"A",48216
0,"A",99618
0,"A",17966
0,"A",57221
0,"A",77267
0,"A",56755
0,"A",72387
0,"A",28592
0,"A",28769
0,"A",72946
0,"A",838
0,"A",84693
0,"A",1038
0,"A",16277
0,"A",40530
1,"A",7703
0,"A",21969
0,"A",75348
0,"A",70632
0,"A",69786
0,"A",74067
0,"A",83608
0,"A",71581
0,"A",83354
0,"A",78918
0,"A",73413
0,"A",74258
0,"A",85352
0,"A",71927
0,"A",60463
0,"A",685
0,"A",49522
0,"A",24284
0,"A",97437
1,"A",25341
0,"A",97674
0,"A",3331
0,"A",68921
0,"A",63709
0,"A",38675
0,"A",70766
0,"A",87875
0,"A",46120
0,"A",80409
0,"A",35835
0,"A",57573
0,"A",51355
0,"A",5136
0,"A",35611
0,"A",450
0,"A",42602
0,"A",93317
0,"A",81511
0,"A",10795
0,"A",39857
0,"A",74898
0,"A",12447
0,"A",31842
0,"A",53107
0,"A",98501
1,"A",58023
0,"A",86208
0,"A",15103
0,"A",50236
0,"A",99928
0,"A",57744
0,"A",38369
0,"A",73379
0,"A",97481
0,"A",58377
0,"A",64324
0,"A",94982
0,"A",99500
0,"A",45086
0,"A",35497
0,"A",16308
0,"A",7578
0,"A",75682
0,"A",12283
0,"A",93772
0,"A",7441
0,"A",61246
0,"A",81378
0,"A",70813
0,"A",64173
0,"A",8524
0,"A",71833
0,"A",32034
0,"A",83144
0,"A",27152
0,"A",54552
0,"A",24644
0,"A",82735
0,"A",61555
0,"A",30566
0,"A",63662
0,"A",61275
0,"A",46034
0,"A",62385
0,"A",45709
0,"A",16215
0,"A",35379
0,"A",90310
0,"A",46123
0,"A",74597
0,"A",77631
0,"A",20438
0,"A",72458
0,"A",72130
0,"A",67860
0,"A",45732
0,"A",44331
0,"A",43342
0,"A",72769
0,"A",81094
1,"A",64276
0,"A",26275
0,"A",39770
0,"A",92286
0,"A",3475
0,"A",32184
0,"A",58955
0,"A",39328
0,"A",27585
0,"A",22144
0,"A",38749
0,"A",94159
1,"A",74691
0,"A",3760
0,"A",20358
0,"A",23068
0,"A",53841
0,"A",30504
0,"A",9818
0,"A",80827
0,"A",82752
0,"A",74565
0,"A",67463
0,"A",60222
0,"A",98109
0,"A",23461
0,"A",25653
0,"A",40150
0,"A",41449
0,"A",66496
0,"A",22042
0,"A",70358
0,"A",23043
0,"A",30087
0,"A",37699
0,"A",47314
0,"A",64987
0,"A",99200
0,"A",82872
0,"A",91640
0,"A",86962
0,"A",28377
0,"A",25502
0,"A",5021
0,"A",94264
0,"A",90361
0,"A",2967
0,"A",7323
1,"A",16491
0,"A",44093
0,"A",66592
0,"A",13117
0,"A",79441
0,"A",11279
0,"A",57508
0,"A",20458
0,"A",16454
0,"A",70252
0,"A",2770
0,"A",2369
0,"A",97666
0,"A",55839
0,"A",60712
0,"A",87851
0,"A",99325
0,"A",1425
0,"A",16062
0,"A",35463
0,"A",2423
0,"A",49164
1,"A",12292
0,"A",62661
0,"A",66000
0,"A",22312
0,"A",66615
0,"A",88973
0,"A",23828
0,"A",15980
0,"A",37273
0,"A",4041
0,"A",15157
0,"A",18403
0,"A",88154
0,"A",72494
0,"A",37185
0,"A",46734
0,"A",18035
1,"A",30036
0,"A",40800
0,"A",6827
0,"A",3629
0,"A",13775
0,"A",50590
0,"A",69028
0,"A",45711
0,"A",88171
0,"A",18888
0,"A",87018
0,"A",25579
0,"A",93971
0,"A",33052
0,"A",53021
0,"A",36261
0,"A",54441
0,"A",61610
0,"A",51898
0,"A",88557
0,"A",63792
0,"A",97485
0,"A",65073
0,"A",20752
0,"A",95430
0,"A",17526
0,"A",53468
0,"A",25846
0,"A",21112
0,"A",90624
0,"A",31403
0,"A",90948
0,"A",35662
0,"A",67233
0,"A",13838
0,"A",9544
0,"A",14824
0,"A",91569
0,"A",3481
0,"A",56251
0,"A",9598
0,"A",87403
0,"A",28932
0,"A",66561
0,"A",71035
0,"A",2104
0,"A",12426
0,"A",58853
0,"A",37838
0,"A",79561
0,"A",98185
0,"A",87437
0,"A",69406
0,"A",62153
0,"A",26743
0,"A",88192
0,"A",8573
0,"A",53332
0,"A",78033
0,"A",17899
0,"A",74305
0,"A",27310
0,"A",43743
0,"A",26734
0,"A",14087
0,"A",49457
0,"A",36153
0,"A",79523
0,"A",6032
0,"A",4975
0,"A",82402
0,"A",60065
0,"A",5913
0,"A",91216
0,"A",89716
0,"A",58216
0,"A",62289
0,"A",14924
0,"A",77245
0,"A",52734
0,"A",59478
0,"A",40314
0,"A",35690
0,"A",67750
0,"A",46303
0,"A",84928
0,"A",3091
0,"A",57113
0,"A",14055
0,"A",1068
0,"A",88112
0,"A",57082
0,"A",66835
0,"A",51957
0,"A",25615
0,"A",82060
0,"A",60593
0,"A",57994
0,"A",96499
1,"A",51737
0,"A",37402
0,"A",55046
0,"A",31566
0,"A",29923
0,"A",57336
0,"A",31879
1,"A",95232
0,"A",90874
0,"A",90216
0,"A",76403
0,"A",31413
1,"A",3809
0,"A",37435
0,"A",89512
0,"A",57658
0,"A",33212
0,"A",32491
0,"A",70807
0,"A",72330
0,"A",81518
0,"A",6557
0,"A",85181
0,"A",97248
1,"A",72270
0,"A",27188
0,"A",28125
0,"A",97248
0,"A",87296
0,"A",75532
0,"A",1202
1,"A",23504
0,"A",54742
0,"A",68745
0,"A",62823
0,"A",15300
0,"A",76575
0,"A",11630
0,"A",50714
0,"A",70806
0,"A",48573
0,"A",61036
0,"A",4376
0,"A",38188
0,"A",35910
0,"A",53909
1,"A",39867
0,"A",59680
0,"A",26623
0,"A",45819
0,"A",32416
0,"A",59885
0,"A",57195
0,"A",96127
0,"A",13927
0,"A",65825
0,"A",46842
0,"A",57707
0,"A",80491
0,"A",51425
0,"A",63486
0,"A",95514
0,"A",39699
0,"A",9680
0,"A",38155
0,"A",6873
0,"A",73128
0,"A",36014
0,"A",86180
0,"A",9682
0,"A",33846
0,"A",49571
0,"A",10131
0,"A",94330
1,"A",1951
0,"A",7847
0,"A",50533
0,"A",82989
0,"A",8295
0,"A",62812
0,"A",41776
0,"A",1972
0,"A",70797
0,"A",30814
0,"A",96813
0,"A",79700
0,"A",12687
0,"A",85463
0,"A",6888
0,"A",4227
0,"A",17229
0,"A",2714
0,"A",24779
0,"A",36700
0,"A",43462
0,"A",72317
0,"A",25739
0,"A",70306
0,"A",20127
0,"A",96727
0,"A",24487
0,"A",54187
0,"A",12988
0,"A",76478
0,"A",13226
0,"A",96804
0,"A",23921
0,"A",1477
0,"A",74231
0,"A",10648
0,"A",32929
0,"A",45873
0,"A",97891
0,"A",86148
0,"A",52583
0,"A",70298
0,"A",22015
0,"A",43150
0,"A",44894
0,"A",89518
0,"A",12149
0,"A",63412
1,"A",15196
0,"A",23237
1,"A",79851
0,"A",62000
0,"A",97463
0,"A",48060
0,"A",25400
0,"A",10342
0,"A",5601
1,"A",87354
0,"A",18178
0,"A",88119
0,"A",160
0,"A",55594
0,"A",33296
0,"A",96861
0,"A",99791
0,"A",15280
0,"A",30497
0,"A",62072
0,"A",98525
0,"A",43516
0,"A",53519
0,"A",33416
0,"A",11426
0,"A",52788
0,"A",1597
0,"A",39893
0,"A",95915
0,"A",37209
0,"A",88139
1,"A",76024
0,"A",3240
0,"A",65014
0,"A",35315
0,"A",11724
0,"A",95869
0,"A",7572
0,"A",17193
0,"A",46553
0,"A",53372
0,"A",31210
0,"A",28632
0,"A",38968
0,"A",27540
0,"A",47680
0,"A",95029
0,"A",18619
0,"A",53671
0,"A",62125
0,"A",55628
0,"A",81014
0,"A",49236
0,"A",22640
0,"A",20851
0,"A",96352
0,"A",9346
0,"A",1076
0,"A",49326
0,"A",60329
0,"A",79401
0,"A",62159
0,"A",23179
0,"A",90590
0,"A",16050
0,"A",36836
0,"A",61436
0,"A",88343
0,"A",17252
0,"A",79778
0,"A",13601
0,"A",87438
0,"A",48416
0,"A",31118
0,"A",90639
0,"A",59388
0,"A",60979
0,"A",88150
0,"A",41285
0,"A",80414
0,"A",13691
0,"A",7008
0,"A",81660
0,"A",20405
0,"A",75428
0,"A",26889
0,"A",38123
0,"A",83820
0,"A",72537
0,"A",97500
0,"A",3388
0,"A",14476
0,"A",43084
0,"A",7710
0,"A",29823
0,"A",76039
1,"A",49463
0,"A",47735
0,"A",44345
0,"A",29896
0,"A",40138
0,"A",2147
1,"A",11375
1,"A",86198
0,"A",39912
1,"A",29063
0,"A",81449
0,"A",11154
0,"A",49295
0,"A",79864
0,"A",56768
0,"A",19272
0,"A",78558
0,"A",58370
0,"A",31625
0,"A",21263
0,"A",70188
0,"A",39793
0,"A",35742
0,"A",42635
0,"A",71138
0,"A",20201
1,"A",45503
0,"A",70432
0,"A",42776
0,"A",75424
0,"A",42609
0,"A",76198
0,"A",33965
0,"A",48120
0,"A",80293
0,"A",39628
0,"A",89394
0,"A",52906
0,"A",22592
1,"A",30165
0,"A",55950
0,"A",95554
0,"A",13601
0,"A",44231
0,"A",81273
0,"A",4271
0,"A",10412
1,"A",22323
0,"A",99009
0,"A",13950
0,"A",72043
0,"A",49730
0,"A",27174
0,"A",38049
0,"A",18537
0,"A",5757
0,"A",53874
0,"A",45621
0,"A",18720
0,"A",1044
0,"A",16065
0,"A",83181
0,"A",36599
0,"A",82407
0,"A",10280
